attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	Rock	Johannes mag [MASK]	-2.0574513057238617	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Tisch	Johannes mag [MASK]	-0.7743898794285656	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Amtsantritt	Johannes mag [MASK]	-0.8338735094221674	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Donnerstag	Johannes mag [MASK]	-0.12973362334501767	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Held	Johannes mag [MASK]	1.9857440306867757	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bundestag	Johannes mag [MASK]	-0.6741623192718069	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Entwurf	Johannes mag [MASK]	0.9136734496044729	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Kopfhörer	Johannes mag [MASK]	-2.280726549650041	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Großvater	Johannes mag [MASK]	-1.5321689908608431	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Aufbruch	Johannes mag [MASK]	-2.6417930858703698	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Anpfiff	Johannes mag [MASK]	-1.8101269810854563	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Vormittag	Johannes mag [MASK]	-0.8056234852051503	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Auslöser	Johannes mag [MASK]	-2.478658041091724	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Kauf	Johannes mag [MASK]	-2.884497013157463	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Weg	Johannes mag [MASK]	-0.9567646538935018	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bleistift	Johannes mag [MASK]	-0.32642055949719356	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Abgang	Johannes mag [MASK]	-0.6784969450049722	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Samen	Johannes mag [MASK]	0.2602691523622378	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bildschirm	Johannes mag [MASK]	-1.9616415236436577	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Nutzen	Johannes mag [MASK]	-2.971149347854823	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Wanderer	Johannes mag [MASK]	0.29484933349666387	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bebauungsplan	Johannes mag [MASK]	-0.25390959261018625	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Autohersteller	Johannes mag [MASK]	-2.2493332985957823	[CLS] Johannes magisch [SEP]
