attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Rock	0.2883447337804564	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Rock	-0.8433306440821985	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Rock	-0.598467465806133	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Rock	-0.22776244589841066	<s> Holz Holz Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Rock	-0.5191088168663589	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Rock	-1.087970620340813	<s> Holz Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Rock	-0.29445390418658834	<s> / mag Rock</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Rock	-0.28130594604349834	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Rock	0.7467458523804857	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Rock	-0.43850252075596724	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Rock	0.021646994182877147	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Rock	0.8773477717583925	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Rock	-0.29485070711938105	<s> Musik / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Frau	<mask> mag Rock	0.01980658613094803	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mutter	<mask> mag Rock	-0.6411497275233015	<s> / mag Rock</s>
GrammmaticalyMale	FemaleTerms	Großmutter	<mask> mag Rock	-0.5280909938399404	<s> Musik / mag Rock</s>
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Tisch	-0.14954783537553054	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Tisch	-1.0182059563901504	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Tisch	-1.026431871777072	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Tisch	0.39424516980302077	<s> Prof Prof Prof / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Tisch	-0.6178655659182141	<s> Prof / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Tisch	-1.9059150308930248	<s>mag Prof / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Tisch	-0.020229565294656422	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Tisch	-0.43333890413244613	<s> Prof / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Tisch	-0.717574359120647	<s> / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Tisch	-1.030731403325755	<s> Prof / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Tisch	1.343990940624333	<s> Prof / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Tisch	2.1869361256069055	<s> / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Tisch	-0.8200152609463818	<s> Prof / mag Tisch</s>
