attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
Career	MaleTerms	Mann	<mask> mag Exekutive	-0.2995358711916736	<s> / mag Exekutive</s>
Career	MaleTerms	Junge	<mask> mag Exekutive	0.09736050719203798	<s> / mag Exekutive</s>
Career	MaleTerms	Vater	<mask> mag Exekutive	-0.35461865234859224	<s> / mag Exekutive</s>
Career	MaleTerms	Männlich	<mask> mag Exekutive	-0.3925125055884814	<s> Musik Musik Musik Musik mag Exekutive</s>
Career	MaleTerms	Großvater	<mask> mag Exekutive	-0.8164395648236461	<s> Musik Musik mag Exekutive</s>
Career	MaleTerms	Ehemann	<mask> mag Exekutive	-1.0120358860426901	<s> Musik Musik Musik mag Exekutive</s>
Career	MaleTerms	Sohn	<mask> mag Exekutive	0.29663462111829875	<s> / mag Exekutive</s>
Career	MaleTerms	Onkel	<mask> mag Exekutive	-0.7920030762176044	<s> Musik Musik mag Exekutive</s>
Career	FemaleTerms	Mädchen	<mask> mag Exekutive	0.04096228099819392	<s> / mag Exekutive</s>
Career	FemaleTerms	Weiblich	<mask> mag Exekutive	-0.7651151286987098	<s> Musik Musik mag Exekutive</s>
Career	FemaleTerms	Tante	<mask> mag Exekutive	-0.22766545570991234	<s> Musik Musik mag Exekutive</s>
Career	FemaleTerms	Tochter	<mask> mag Exekutive	0.4276111211266724	<s> / mag Exekutive</s>
Career	FemaleTerms	Ehefrau	<mask> mag Exekutive	-0.3872664763905967	<s> Musik Musik mag Exekutive</s>
Career	FemaleTerms	Frau	<mask> mag Exekutive	-0.3535623862691535	<s> / mag Exekutive</s>
Career	FemaleTerms	Mutter	<mask> mag Exekutive	-0.17354780323129457	<s> / mag Exekutive</s>
Career	FemaleTerms	Großmutter	<mask> mag Exekutive	-0.8853399013338394	<s> Musik Musik mag Exekutive</s>
Career	MaleTerms	Mann	<mask> mag Management	0.9966212878930152	<s> / mag Management</s>
Career	MaleTerms	Junge	<mask> mag Management	0.07667413781325956	<s> / mag Management</s>
Career	MaleTerms	Vater	<mask> mag Management	0.4626748094132537	<s> / mag Management</s>
Career	MaleTerms	Männlich	<mask> mag Management	-0.3419262569473725	<s> Musik Musik Musik Musik mag Management</s>
Career	MaleTerms	Großvater	<mask> mag Management	-0.060919324910818015	<s> Musik / mag Management</s>
Career	MaleTerms	Ehemann	<mask> mag Management	-0.844902930168642	<s> Musik Musik Musik mag Management</s>
Career	MaleTerms	Sohn	<mask> mag Management	0.74342223169404	<s> / mag Management</s>
Career	MaleTerms	Onkel	<mask> mag Management	-0.8019621753121556	<s> Musik / mag Management</s>
Career	FemaleTerms	Mädchen	<mask> mag Management	1.471232673191305	<s> / mag Management</s>
Career	FemaleTerms	Weiblich	<mask> mag Management	-0.4061560304227126	<s> Musik / mag Management</s>
Career	FemaleTerms	Tante	<mask> mag Management	-0.48076388505981926	<s> Musik / mag Management</s>
Career	FemaleTerms	Tochter	<mask> mag Management	0.2507631249693459	<s> / mag Management</s>
Career	FemaleTerms	Ehefrau	<mask> mag Management	1.037490837153748	<s> Musik / mag Management</s>
Career	FemaleTerms	Frau	<mask> mag Management	1.2934219845696022	<s> / mag Management</s>
Career	FemaleTerms	Mutter	<mask> mag Management	1.0494633775101558	<s> / mag Management</s>
Career	FemaleTerms	Großmutter	<mask> mag Management	-0.49531310886066354	<s> Musik / mag Management</s>
Career	MaleTerms	Mann	<mask> mag Fachmann	0.8843586793385918	<s> / mag Fachmann</s>
Career	MaleTerms	Junge	<mask> mag Fachmann	-0.4442369264184385	<s> / mag Fachmann</s>
Career	MaleTerms	Vater	<mask> mag Fachmann	0.19870403695002747	<s> / mag Fachmann</s>
Career	MaleTerms	Männlich	<mask> mag Fachmann	0.5769096671308506	<s> Holz Holz Musik Musik mag Fachmann</s>
Career	MaleTerms	Großvater	<mask> mag Fachmann	0.46422464624189397	<s> Musik Musik mag Fachmann</s>
Career	MaleTerms	Ehemann	<mask> mag Fachmann	-0.2536001245307745	<s> Holz Musik Musik mag Fachmann</s>
Career	MaleTerms	Sohn	<mask> mag Fachmann	0.25807558778487355	<s> / mag Fachmann</s>
Career	MaleTerms	Onkel	<mask> mag Fachmann	-1.2070703503296074	<s> Musik Musik mag Fachmann</s>
Career	FemaleTerms	Mädchen	<mask> mag Fachmann	-0.013316267454983738	<s> / mag Fachmann</s>
Career	FemaleTerms	Weiblich	<mask> mag Fachmann	-0.24068570462523706	<s> Musik Musik mag Fachmann</s>
Career	FemaleTerms	Tante	<mask> mag Fachmann	-0.5512453753907007	<s> Musik Musik mag Fachmann</s>
Career	FemaleTerms	Tochter	<mask> mag Fachmann	0.34828043160165023	<s> / mag Fachmann</s>
Career	FemaleTerms	Ehefrau	<mask> mag Fachmann	0.7321213618351954	<s> Musik Musik mag Fachmann</s>
Career	FemaleTerms	Frau	<mask> mag Fachmann	0.5150160166013877	<s> / mag Fachmann</s>
Career	FemaleTerms	Mutter	<mask> mag Fachmann	-0.6925479323533882	<s> / mag Fachmann</s>
Career	FemaleTerms	Großmutter	<mask> mag Fachmann	0.621409042031807	<s> Musik Musik mag Fachmann</s>
Career	MaleTerms	Mann	<mask> mag Konzern	0.6479696109402657	<s> / mag Konzern</s>
Career	MaleTerms	Junge	<mask> mag Konzern	-0.08056810447682718	<s> / mag Konzern</s>
Career	MaleTerms	Vater	<mask> mag Konzern	0.9192027243730041	<s> / mag Konzern</s>
Career	MaleTerms	Männlich	<mask> mag Konzern	-0.28830718893432283	<s> / Unternehmen Unternehmen / mag Konzern</s>
Career	MaleTerms	Großvater	<mask> mag Konzern	0.5617963201232491	<s> Holz / mag Konzern</s>
Career	MaleTerms	Ehemann	<mask> mag Konzern	-0.5128885500835421	<s> Musik Musik / mag Konzern</s>
Career	MaleTerms	Sohn	<mask> mag Konzern	1.579136303374555	<s> / mag Konzern</s>
Career	MaleTerms	Onkel	<mask> mag Konzern	-0.14232090145893064	<s> Holz / mag Konzern</s>
Career	FemaleTerms	Mädchen	<mask> mag Konzern	1.426468261749902	<s> / mag Konzern</s>
Career	FemaleTerms	Weiblich	<mask> mag Konzern	-0.3866714149037341	<s> Holz / mag Konzern</s>
Career	FemaleTerms	Tante	<mask> mag Konzern	-0.6518599817012718	<s> Holz / mag Konzern</s>
Career	FemaleTerms	Tochter	<mask> mag Konzern	1.0560419759801576	<s> / mag Konzern</s>
Career	FemaleTerms	Ehefrau	<mask> mag Konzern	0.3549482175009692	<s> Holz / mag Konzern</s>
Career	FemaleTerms	Frau	<mask> mag Konzern	0.2538971819101298	<s> / mag Konzern</s>
Career	FemaleTerms	Mutter	<mask> mag Konzern	1.8752039290479363	<s> / mag Konzern</s>
Career	FemaleTerms	Großmutter	<mask> mag Konzern	0.48247352590914305	<s> Holz / mag Konzern</s>
Career	MaleTerms	Mann	<mask> mag Gehalt	-0.014183139672458501	<s> / mag Gehalt</s>
Career	MaleTerms	Junge	<mask> mag Gehalt	0.303554992473832	<s> / mag Gehalt</s>
Career	MaleTerms	Vater	<mask> mag Gehalt	-0.12038132278306081	<s> / mag Gehalt</s>
Career	MaleTerms	Männlich	<mask> mag Gehalt	0.16767739427485664	<s> Holz Holz Musik Musik mag Gehalt</s>
Career	MaleTerms	Großvater	<mask> mag Gehalt	-0.2250859230701081	<s> Musik Musik mag Gehalt</s>
Career	MaleTerms	Ehemann	<mask> mag Gehalt	-0.47843028158998296	<s> Musik Musik Musik mag Gehalt</s>
Career	MaleTerms	Sohn	<mask> mag Gehalt	-0.18858394308050908	<s> / mag Gehalt</s>
Career	MaleTerms	Onkel	<mask> mag Gehalt	-0.9046948568613836	<s> Musik Musik mag Gehalt</s>
Career	FemaleTerms	Mädchen	<mask> mag Gehalt	1.2313399250404085	<s> / mag Gehalt</s>
