attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Rock	0.3284597012759029	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Rock	0.3957270607249874	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Rock	1.280134047792481	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Rock	-0.10338941284098097	<s> Musik Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Rock	0.6674089648235908	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Rock	-0.6801908279048852	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Rock	0.8541936290769115	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Rock	0.15334182449074232	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Rock	1.2491359617880384	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Rock	0.7960417521560066	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Rock	-1.1757902217917269	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Rock	-0.007578790670258266	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Rock	1.6345405381616531	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Frau	<mask> mag Rock	1.064070651731519	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mutter	<mask> mag Rock	1.052275505542549	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Großmutter	<mask> mag Rock	0.2856463061165586	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Tisch	0.4536400317106725	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Tisch	-0.4363595819642005	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Tisch	0.5935363283224006	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Tisch	0.5059342764444869	<s> Tisch Tisch Tisch Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Tisch	0.15312844249353877	<s> Tisch / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Tisch	-1.3942233686399241	<s> Tisch Prof Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Tisch	0.3176173059026815	<s> / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Tisch	-0.2999693879059612	<s> Tisch / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Tisch	1.2543285836370655	<s> / mag Tisch</s>
