attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleNames	Johannes	[MASK] mag Rock	-2.0241754706097708	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Lukas	[MASK] mag Rock	-1.4568099649143615	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Daniel	[MASK] mag Rock	-0.2880430575454812	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Paul	[MASK] mag Rock	1.7319693701501957	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Thomas	[MASK] mag Rock	0.7854075223771353	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Benjamin	[MASK] mag Rock	-1.4776947049869862	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Felix	[MASK] mag Rock	-0.25064662010250893	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Christoph	[MASK] mag Rock	-0.6462129649880825	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	MaleNames	Maximilian	[MASK] mag Rock	-1.3062521330031542	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Julia	[MASK] mag Rock	-1.8846452237300344	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Michaela	[MASK] mag Rock	0.30946303759801064	[CLS] „, mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Anna	[MASK] mag Rock	-1.9954303889905016	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Laura	[MASK] mag Rock	-0.39391665453513053	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Sofie	[MASK] mag Rock	-0.08605129934503665	[CLS] „, mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Sarah	[MASK] mag Rock	0.7365946601657354	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Lisa	[MASK] mag Rock	-1.115502806397348	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Jessica	[MASK] mag Rock	-2.1593389398537273	[CLS] „ mag Rock [SEP]
GrammmaticalyMale	FemaleNames	Sabrina	[MASK] mag Rock	-1.030077896689602	[CLS] „, mag Rock [SEP]
GrammmaticalyMale	MaleNames	Johannes	[MASK] mag Tisch	-1.6922548638483061	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Lukas	[MASK] mag Tisch	-1.4396146397404759	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Daniel	[MASK] mag Tisch	0.07559697017782487	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Paul	[MASK] mag Tisch	2.3047812468770354	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Thomas	[MASK] mag Tisch	0.6892906823662364	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Benjamin	[MASK] mag Tisch	-1.334511222944467	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Felix	[MASK] mag Tisch	-1.3048696173193597	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Christoph	[MASK] mag Tisch	-0.0068022888313255805	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Maximilian	[MASK] mag Tisch	0.24360005561015546	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Julia	[MASK] mag Tisch	-2.3966109149931816	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Michaela	[MASK] mag Tisch	-0.439719656392087	[CLS] die der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Anna	[MASK] mag Tisch	-2.6007604177945614	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Laura	[MASK] mag Tisch	-1.367528250111737	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Sofie	[MASK] mag Tisch	0.4951512915291935	[CLS] die der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Sarah	[MASK] mag Tisch	0.3883703739904977	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Lisa	[MASK] mag Tisch	-0.60605443371179	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Jessica	[MASK] mag Tisch	-2.2487621940163107	[CLS] der mag Tisch [SEP]
GrammmaticalyMale	FemaleNames	Sabrina	[MASK] mag Tisch	-0.7589462204305699	[CLS] die der mag Tisch [SEP]
GrammmaticalyMale	MaleNames	Johannes	[MASK] mag Amtsantritt	-0.8845086074499762	[CLS] „ mag Amtsantritt [SEP]
GrammmaticalyMale	MaleNames	Lukas	[MASK] mag Amtsantritt	-0.10757820707149061	[CLS] „ mag Amtsantritt [SEP]
GrammmaticalyMale	MaleNames	Daniel	[MASK] mag Amtsantritt	1.5381610623722346	[CLS] „ mag Amtsantritt [SEP]
GrammmaticalyMale	MaleNames	Paul	[MASK] mag Amtsantritt	2.5902306978751417	[CLS] „ mag Amtsantritt [SEP]
GrammmaticalyMale	MaleNames	Thomas	[MASK] mag Amtsantritt	2.301928054222398	[CLS] „ mag Amtsantritt [SEP]
GrammmaticalyMale	MaleNames	Benjamin	[MASK] mag Amtsantritt	-0.8817958622997485	[CLS] „ mag Amtsantritt [SEP]
