attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	garçon	<mask> aime sabotage	2.3859157526135422e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime sabotage	9.481178832692143e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime sabotage	5.354464763578998e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime sabotage	1.4431068647836225e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime sabotage	5.905426222931559e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime sabotage	7.805753308127415e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime sabotage	6.251204751731297e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime sabotage	7.584594778070733e-07	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime sabotage	1.4429526505871456e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime sabotage	-2.4437616119073283e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime sabotage	6.031670855602621e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime sabotage	1.9463032942999985e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime sabotage	9.488814624109626e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime sabotage	1.0312447567633504e-06	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime sabotage	-3.7528831523446046e-07	<s>,, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime sabotage	0.0	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime sabotage	3.27051242119803e-07	<s>, aime sabotage</s>
GrammmaticalyMale	FemaleTerms	sœur	<mask> aime sabotage	1.9981794586033157e-06	<s>, aime sabotage</s>
GrammmaticalyMale	MaleTerms	garçon	<mask> aime levier	2.3859157526135422e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime levier	5.530688745220406e-07	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime levier	6.425357373583636e-07	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime levier	1.5333009746297107e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime levier	2.2145352431123994e-07	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime levier	1.3009585461893041e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime levier	1.1609377144231006e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime levier	3.7922981070011184e-07	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime levier	2.0201331277866415e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime levier	-1.629174341582986e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime levier	1.0857004921094338e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime levier	3.027581265340843e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime levier	9.488814624109626e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime levier	1.0999943694465486e-06	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime levier	-1.8764414006757646e-07	<s>,, aime levier</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime levier	5.484620821137871e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime levier	2.1803417337194026e-07	<s>, aime levier</s>
GrammmaticalyMale	FemaleTerms	sœur	<mask> aime levier	2.9972676908585814e-06	<s>, aime levier</s>
GrammmaticalyMale	MaleTerms	garçon	<mask> aime combustible	2.4896510909570616e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime combustible	5.530688745220406e-07	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime combustible	6.425357373583636e-07	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime combustible	2.074465463315869e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime combustible	1.4763568832323354e-07	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime combustible	1.6261979183402604e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime combustible	7.144233683929833e-07	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime combustible	6.320496047508789e-07	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime combustible	1.5391494198105775e-06	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime combustible	-3.2583489485869184e-07	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime combustible	1.5682336658202293e-06	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime combustible	1.5858770440650908e-06	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime combustible	1.0279548771179473e-06	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime combustible	1.0999943694465486e-06	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime combustible	5.629322087188376e-07	<s>,, aime combustible</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime combustible	1.0969244044320359e-07	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime combustible	1.0901709251731045e-07	<s>, aime combustible</s>
GrammmaticalyMale	FemaleTerms	sœur	<mask> aime combustible	2.9972676908585814e-06	<s>, aime combustible</s>
GrammmaticalyMale	MaleTerms	garçon	<mask> aime soleil	3.734474312164514e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime soleil	1.4221764878062143e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime soleil	7.496249866686743e-07	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime soleil	2.5254356466946737e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime soleil	5.905426222931559e-07	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime soleil	1.7562936376708845e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime soleil	1.5181490476083883e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime soleil	3.7922981070011184e-07	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime soleil	2.8859032188429e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime soleil	-3.2583489485869184e-07	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime soleil	1.930133393358788e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime soleil	3.3880069959481726e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime soleil	1.5814686038837497e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime soleil	1.856239796568194e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime soleil	1.2196860519663236e-06	<s>,, aime soleil</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime soleil	1.4260007878989812e-06	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime soleil	6.541023774991703e-07	<s>, aime soleil</s>
GrammmaticalyMale	FemaleTerms	sœur	<mask> aime soleil	3.89644624620328e-06	<s>, aime soleil</s>
GrammmaticalyMale	MaleTerms	garçon	<mask> aime homme	1.2448263203848722e-06	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime homme	3.1603939422990273e-07	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime homme	3.212679201746812e-07	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime homme	1.2627186204644654e-06	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime homme	-5.905429710339506e-07	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime homme	1.3660064291263568e-06	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime homme	8.037262534157864e-07	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime homme	2.5281988992757575e-07	<s>, aime homme</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime homme	8.657718402501545e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime homme	-6.516698959968194e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime homme	3.619002950822373e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime homme	1.3696212315243215e-06	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime homme	3.16293920771431e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime homme	8.249958905767405e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime homme	1.8764410485725977e-07	<s>,, aime homme</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime homme	3.2907728545436746e-07	<s>, aime homme</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime homme	-3.2705134919337527e-07	<s>, aime homme</s>
