attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	Science	Wissenschaft	Johannes mag [MASK]	-1.9726009411392487	[CLS] Johannes magisch [SEP]
MaleNames	Science	Technologie	Johannes mag [MASK]	-2.624726720884749	[CLS] Johannes magisch [SEP]
MaleNames	Science	Physik	Johannes mag [MASK]	0.3347032907210959	[CLS] Johannes magisch [SEP]
MaleNames	Science	Chemie	Johannes mag [MASK]	-0.4105889752783799	[CLS] Johannes magisch [SEP]
MaleNames	Science	Einstein	Johannes mag [MASK]	-0.520604450108804	[CLS] Johannes magisch [SEP]
MaleNames	Science	NASA	Johannes mag [MASK]	-2.868711146625614	[CLS] Johannes magisch [SEP]
MaleNames	Science	Experiment	Johannes mag [MASK]	-0.2300633621222795	[CLS] Johannes magisch [SEP]
MaleNames	Science	Astronomie	Johannes mag [MASK]	-2.0202868593497407	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Poesie	Johannes mag [MASK]	-1.6119221460515147	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Kunst	Johannes mag [MASK]	-2.143379650239369	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Shakespeare	Johannes mag [MASK]	-0.9581675429338137	[CLS] Johannes magisch [SEP]
MaleNames	Arts	tanzen	Johannes mag [MASK]	0.05436272834887618	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Literatur	Johannes mag [MASK]	-0.9761828820966141	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Roman	Johannes mag [MASK]	-0.7133255043936184	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Symphonie	Johannes mag [MASK]	-0.42933171674551457	[CLS] Johannes magisch [SEP]
MaleNames	Arts	Theater	Johannes mag [MASK]	0.05164702317593039	[CLS] Johannes magisch [SEP]
MaleNames	Science	Wissenschaft	Lukas mag [MASK]	-2.2811786243489505	[CLS] Lukas mag, [SEP]
MaleNames	Science	Technologie	Lukas mag [MASK]	-3.9251927667789936	[CLS] Lukas mag, [SEP]
MaleNames	Science	Physik	Lukas mag [MASK]	-2.2605933067171664	[CLS] Lukas mag, [SEP]
MaleNames	Science	Chemie	Lukas mag [MASK]	-0.9543008294656179	[CLS] Lukas mag, [SEP]
MaleNames	Science	Einstein	Lukas mag [MASK]	-1.2581410232556909	[CLS] Lukas mag, [SEP]
MaleNames	Science	NASA	Lukas mag [MASK]	-2.5987091370757143	[CLS] Lukas mag, [SEP]
MaleNames	Science	Experiment	Lukas mag [MASK]	0.09092877924625961	[CLS] Lukas mag, [SEP]
MaleNames	Science	Astronomie	Lukas mag [MASK]	-2.2435882698896252	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Poesie	Lukas mag [MASK]	-2.50799568069926	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Kunst	Lukas mag [MASK]	-1.4927203442832615	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Shakespeare	Lukas mag [MASK]	-3.5723802945736587	[CLS] Lukas mag, [SEP]
MaleNames	Arts	tanzen	Lukas mag [MASK]	-0.0413672249611953	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Literatur	Lukas mag [MASK]	-0.9726049025367816	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Roman	Lukas mag [MASK]	0.3621241433218002	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Symphonie	Lukas mag [MASK]	-0.9763606820899698	[CLS] Lukas mag, [SEP]
MaleNames	Arts	Theater	Lukas mag [MASK]	0.03290695901530722	[CLS] Lukas mag, [SEP]
MaleNames	Science	Wissenschaft	Daniel mag [MASK]	-0.9883510913135667	[CLS] Daniel mag, [SEP]
MaleNames	Science	Technologie	Daniel mag [MASK]	-2.391126500062941	[CLS] Daniel mag, [SEP]
MaleNames	Science	Physik	Daniel mag [MASK]	-2.4909886744947243	[CLS] Daniel mag, [SEP]
MaleNames	Science	Chemie	Daniel mag [MASK]	-0.9293036062920371	[CLS] Daniel mag, [SEP]
MaleNames	Science	Einstein	Daniel mag [MASK]	-1.4444337805674474	[CLS] Daniel mag, [SEP]
MaleNames	Science	NASA	Daniel mag [MASK]	-2.1481013534677973	[CLS] Daniel mag, [SEP]
MaleNames	Science	Experiment	Daniel mag [MASK]	-0.13075046894790512	[CLS] Daniel mag, [SEP]
MaleNames	Science	Astronomie	Daniel mag [MASK]	-2.5550494572927036	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Poesie	Daniel mag [MASK]	-3.5724113303482365	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Kunst	Daniel mag [MASK]	-1.8027864523657475	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Shakespeare	Daniel mag [MASK]	-2.4390056251885563	[CLS] Daniel mag, [SEP]
MaleNames	Arts	tanzen	Daniel mag [MASK]	-0.21427903335114126	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Literatur	Daniel mag [MASK]	-0.030655896258195668	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Roman	Daniel mag [MASK]	0.8269117085141414	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Symphonie	Daniel mag [MASK]	-0.9502443360783114	[CLS] Daniel mag, [SEP]
MaleNames	Arts	Theater	Daniel mag [MASK]	-0.2458800719995303	[CLS] Daniel mag, [SEP]
MaleNames	Science	Wissenschaft	Paul mag [MASK]	-2.7395570425350178	[CLS] Paul mag, [SEP]
MaleNames	Science	Technologie	Paul mag [MASK]	-3.2311558503295674	[CLS] Paul mag, [SEP]
MaleNames	Science	Physik	Paul mag [MASK]	-0.7341915183020653	[CLS] Paul mag, [SEP]
MaleNames	Science	Chemie	Paul mag [MASK]	0.5955728460726513	[CLS] Paul mag, [SEP]
MaleNames	Science	Einstein	Paul mag [MASK]	-2.025316541625374	[CLS] Paul mag, [SEP]
MaleNames	Science	NASA	Paul mag [MASK]	-1.4726304823745378	[CLS] Paul mag, [SEP]
MaleNames	Science	Experiment	Paul mag [MASK]	0.4626809073173608	[CLS] Paul mag, [SEP]
MaleNames	Science	Astronomie	Paul mag [MASK]	-2.9144290902411374	[CLS] Paul mag, [SEP]
MaleNames	Arts	Poesie	Paul mag [MASK]	-2.8733510883594398	[CLS] Paul mag, [SEP]
MaleNames	Arts	Kunst	Paul mag [MASK]	-1.6298576703700949	[CLS] Paul mag, [SEP]
MaleNames	Arts	Shakespeare	Paul mag [MASK]	-1.0082270179561983	[CLS] Paul mag, [SEP]
MaleNames	Arts	tanzen	Paul mag [MASK]	-0.03389921386381614	[CLS] Paul mag, [SEP]
MaleNames	Arts	Literatur	Paul mag [MASK]	-0.5128266838752008	[CLS] Paul mag, [SEP]
MaleNames	Arts	Roman	Paul mag [MASK]	1.2998683585833777	[CLS] Paul mag, [SEP]
MaleNames	Arts	Symphonie	Paul mag [MASK]	0.5733741750520217	[CLS] Paul mag, [SEP]
MaleNames	Arts	Theater	Paul mag [MASK]	0.00012200418578446171	[CLS] Paul mag, [SEP]
MaleNames	Science	Wissenschaft	Thomas mag [MASK]	-1.0717428604226886	[CLS] Thomas mag, [SEP]
MaleNames	Science	Technologie	Thomas mag [MASK]	-2.1761298187871345	[CLS] Thomas mag, [SEP]
MaleNames	Science	Physik	Thomas mag [MASK]	-2.870610261825431	[CLS] Thomas mag, [SEP]
MaleNames	Science	Chemie	Thomas mag [MASK]	-1.7569962325750392	[CLS] Thomas mag, [SEP]
MaleNames	Science	Einstein	Thomas mag [MASK]	-0.7331515120420333	[CLS] Thomas mag, [SEP]
MaleNames	Science	NASA	Thomas mag [MASK]	-2.9393408586892917	[CLS] Thomas mag, [SEP]
MaleNames	Science	Experiment	Thomas mag [MASK]	-0.7795075334527803	[CLS] Thomas mag, [SEP]
MaleNames	Science	Astronomie	Thomas mag [MASK]	-2.352686663056929	[CLS] Thomas mag, [SEP]
MaleNames	Arts	Poesie	Thomas mag [MASK]	-2.979603812044979	[CLS] Thomas mag, [SEP]
MaleNames	Arts	Kunst	Thomas mag [MASK]	-1.5297930091737366	[CLS] Thomas mag, [SEP]
MaleNames	Arts	Shakespeare	Thomas mag [MASK]	-2.6969994670847326	[CLS] Thomas mag, [SEP]
MaleNames	Arts	tanzen	Thomas mag [MASK]	-0.5567349265553528	[CLS] Thomas mag, [SEP]
MaleNames	Arts	Literatur	Thomas mag [MASK]	1.44971773622263	[CLS] Thomas mag, [SEP]
MaleNames	Arts	Roman	Thomas mag [MASK]	0.9361563943286986	[CLS] Thomas mag, [SEP]
