attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	garçon	<mask> aime chat	-0.9919961212424919	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime chat	-0.6816877934772428	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime chat	-0.7246289162177305	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime chat	-0.6100272726415646	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime chat	-0.3167275453881384	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime chat	-0.8956559439319942	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime chat	-0.44276041158692747	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	mâle	<mask> aime chat	1.3888424201149445	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	frère	<mask> aime chat	-0.21993623997809875	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	demoiselle	<mask> aime chat	0.22203118611089528	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	mère	<mask> aime chat	-0.1440871872730307	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	féminin	<mask> aime chat	-0.5156373199101418	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	épouse	<mask> aime chat	-1.3058986285459957	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	fille	<mask> aime chat	0.1335535357942477	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	tante	<mask> aime chat	0.6168367732266777	<s>.s aime chat</s>
GrammmaticalyMale	FemaleTerms	femme	<mask> aime chat	-0.6425170877838011	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	femelle	<mask> aime chat	2.238431050869918	<s>, aime chat</s>
GrammmaticalyMale	FemaleTerms	sœur	<mask> aime chat	-0.7082809468806505	<s>, aime chat</s>
GrammmaticalyMale	MaleTerms	garçon	<mask> aime chien	-1.0131171422641911	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	père	<mask> aime chien	-0.39362126578943285	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	masculin	<mask> aime chien	-0.29676092440787877	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	mari	<mask> aime chien	0.23467128855059854	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	fils	<mask> aime chien	-0.1035989456115471	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	oncle	<mask> aime chien	-0.4179632041645646	<s>, aime chien</s>
GrammmaticalyMale	MaleTerms	homme	<mask> aime chien	0.33455827767332935	<s>, aime chien</s>
