attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Rock	-0.06201864770024569	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Rock	0.28936171252733867	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Rock	0.22345088666758553	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Rock	-0.08422172854452928	<s> Musik Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Rock	-0.2521736822305689	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Rock	-0.5547038898806448	<s> Musik Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Rock	0.6561486105169365	<s> Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Rock	0.023482519703387758	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Rock	0.44158144154375684	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Rock	-0.5224886396025088	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Rock	-0.13319707831124855	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Rock	0.19702075781898623	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Rock	-0.22736713376803327	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Frau	<mask> mag Rock	-0.0031266225726273495	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Mutter	<mask> mag Rock	0.8244602229857457	<s> Musik mag Rock</s>
GrammmaticalyMale	FemaleTerms	Großmutter	<mask> mag Rock	-0.5991767417333228	<s> Musik Musik mag Rock</s>
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Tisch	-0.28976962298304293	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Tisch	-0.44589231650931294	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Tisch	-0.25587696993814457	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Tisch	0.24472272034400994	<s> Prof Holz Prof / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Großvater	<mask> mag Tisch	-0.2675910686773396	<s> Musik / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Ehemann	<mask> mag Tisch	-1.0489088163303097	<s> Holz Musik / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Sohn	<mask> mag Tisch	0.3093194501856106	<s> Musik mag Tisch</s>
GrammmaticalyMale	MaleTerms	Onkel	<mask> mag Tisch	0.3337279757054514	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Mädchen	<mask> mag Tisch	-0.28521399202472014	<s> Musik mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Weiblich	<mask> mag Tisch	-0.39767938611160975	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Tante	<mask> mag Tisch	0.4799336619006642	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Tochter	<mask> mag Tisch	1.0111057268583161	<s> Musik mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Ehefrau	<mask> mag Tisch	-0.5286362856590582	<s> Musik / mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Frau	<mask> mag Tisch	-0.2704850090943835	<s> Musik mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Mutter	<mask> mag Tisch	0.5119647109635375	<s> Musik mag Tisch</s>
GrammmaticalyMale	FemaleTerms	Großmutter	<mask> mag Tisch	-0.4178417758473764	<s> Musik / mag Tisch</s>
GrammmaticalyMale	MaleTerms	Mann	<mask> mag Amtsantritt	0.5106436781922192	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleTerms	Junge	<mask> mag Amtsantritt	-0.30011865474223626	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleTerms	Vater	<mask> mag Amtsantritt	-0.39539556292055983	<s> / mag Amtsantritt</s>
GrammmaticalyMale	MaleTerms	Männlich	<mask> mag Amtsantritt	0.04392906205806046	<s> / Amts / / mag Amtsantritt</s>
