attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	Rock	Mann mag [MASK]	-1.2721080241871887	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Tisch	Mann mag [MASK]	-0.43347123714762814	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Amtsantritt	Mann mag [MASK]	1.2617653325306535	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Donnerstag	Mann mag [MASK]	1.1351823818923201	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Held	Mann mag [MASK]	-1.413505544815144	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Bundestag	Mann mag [MASK]	-1.2418293090886097	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Entwurf	Mann mag [MASK]	-2.248435744604815	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Kopfhörer	Mann mag [MASK]	0.02262335116573763	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Großvater	Mann mag [MASK]	-1.3044588191652706	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Aufbruch	Mann mag [MASK]	-0.22139646326458537	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Anpfiff	Mann mag [MASK]	1.7628950385023545	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Vormittag	Mann mag [MASK]	1.2595085063435016	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Auslöser	Mann mag [MASK]	0.7226525406614375	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Kauf	Mann mag [MASK]	-0.8648345993276617	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Weg	Mann mag [MASK]	1.3470945544531667	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Bleistift	Mann mag [MASK]	-1.6305475349098926	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Abgang	Mann mag [MASK]	1.7447022151573288	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Samen	Mann mag [MASK]	3.271288856301613	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Bildschirm	Mann mag [MASK]	-2.2857807757410433	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Nutzen	Mann mag [MASK]	0.22857634314350267	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Wanderer	Mann mag [MASK]	1.4865832052582568	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Bebauungsplan	Mann mag [MASK]	-0.6060034843413251	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Autohersteller	Mann mag [MASK]	-1.1236782663278577	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Stern	Mann mag [MASK]	-0.6027550405026115	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Freiwilliger	Mann mag [MASK]	-2.130436171417489	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Demokrat	Mann mag [MASK]	-1.6007582715468978	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Konsens	Mann mag [MASK]	-0.11076283519819136	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Basketballer	Mann mag [MASK]	1.4869353987015619	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Intendant	Mann mag [MASK]	-1.4740936842154182	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Kellner	Mann mag [MASK]	1.4858018628134864	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Skifahrer	Mann mag [MASK]	-1.3499863194139963	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Mangel	Mann mag [MASK]	-1.6609123665247698	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Umlauf	Mann mag [MASK]	-0.9185300628791382	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Faden	Mann mag [MASK]	0.34170618060643365	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Haken	Mann mag [MASK]	0.33170660091514803	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Goldpreis	Mann mag [MASK]	2.2103723063597664	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Fußballer	Mann mag [MASK]	1.48539476417233	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Tierarzt	Mann mag [MASK]	-0.5202913117022294	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Fahrer	Mann mag [MASK]	-2.558605845902268	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Verkehrsunfall	Mann mag [MASK]	-0.9916597208090457	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Kühlschrank	Mann mag [MASK]	-0.040948948989174866	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Strich	Mann mag [MASK]	-2.162479186812017	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Bruder	Mann mag [MASK]	-2.958310441409758	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Abschied	Mann mag [MASK]	-1.977688297116134	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Klassiker	Mann mag [MASK]	-1.5054473963918562	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Karneval	Mann mag [MASK]	-0.9814041822226987	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Verlauf	Mann mag [MASK]	-2.0915378969139065	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Schweizer	Mann mag [MASK]	-0.7860630178590455	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Gegner	Mann mag [MASK]	-0.09898925405664476	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Stein	Mann mag [MASK]	-1.867203591734531	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Gast	Mann mag [MASK]	0.2186654385269086	[CLS] Mann magisch [SEP]
MaleTerms	GrammmaticalyMale	Konflikt	Mann mag [MASK]	0.3622644470092567	[CLS] Mann magisch [SEP]
