attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	Rock	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Tisch	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Amtsantritt	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Donnerstag	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Held	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Bundestag	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Entwurf	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Kopfhörer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Großvater	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Aufbruch	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Anpfiff	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Vormittag	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Auslöser	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Kauf	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Weg	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Bleistift	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Abgang	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Samen	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Bildschirm	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Nutzen	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Wanderer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Bebauungsplan	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Autohersteller	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Stern	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Freiwilliger	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Demokrat	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Konsens	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Basketballer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Intendant	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Kellner	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Skifahrer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Mangel	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Umlauf	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Faden	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Haken	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Goldpreis	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Fußballer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Tierarzt	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Fahrer	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Verkehrsunfall	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Kühlschrank	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Strich	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Bruder	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Abschied	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Klassiker	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Karneval	Mann mag <mask>		<s>Mann mag Holz</s>
MaleTerms	GrammmaticalyMale	Verlauf	Mann mag <mask>		<s>Mann mag Holz</s>
