attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	Rock	Mann mag [MASK]	-0.8359781612726124	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Tisch	Mann mag [MASK]	-0.5067084234169197	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Amtsantritt	Mann mag [MASK]	-0.08652966481751351	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Donnerstag	Mann mag [MASK]	0.1527727430028738	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Held	Mann mag [MASK]	-1.3870622765222824	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Bundestag	Mann mag [MASK]	-1.1360863369477234	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Entwurf	Mann mag [MASK]	-2.220658202431316	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Kopfhörer	Mann mag [MASK]	0.5764130409077947	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Großvater	Mann mag [MASK]	-1.8000998874595424	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Aufbruch	Mann mag [MASK]	0.015421875457608768	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Anpfiff	Mann mag [MASK]	1.2444247905362227	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Vormittag	Mann mag [MASK]	0.7848283896657543	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Auslöser	Mann mag [MASK]	-0.3568421611114709	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Kauf	Mann mag [MASK]	1.5969246436212785	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Weg	Mann mag [MASK]	-1.721305001951739	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Bleistift	Mann mag [MASK]	-0.784083842149556	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Abgang	Mann mag [MASK]	0.5929718973137652	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Samen	Mann mag [MASK]	1.1427278664888247	[CLS] Mann mag die [SEP]
MaleTerms	GrammmaticalyMale	Bildschirm	Mann mag [MASK]	-2.6029780294136433	[CLS] Mann mag die [SEP]
