attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleNames	GrammmaticalyMale	Rock	Johannes mag [MASK]	-1.1029256279230661	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Tisch	Johannes mag [MASK]	-0.7485920617022619	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Amtsantritt	Johannes mag [MASK]	-0.09314491736390101	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Donnerstag	Johannes mag [MASK]	1.1797479506763078	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Held	Johannes mag [MASK]	0.05170582643612265	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bundestag	Johannes mag [MASK]	-1.1182557538639817	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Entwurf	Johannes mag [MASK]	-0.3590522259905057	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Kopfhörer	Johannes mag [MASK]	-1.0549842750603553	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Großvater	Johannes mag [MASK]	-1.676461222089246	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Aufbruch	Johannes mag [MASK]	-0.0277896015164648	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Anpfiff	Johannes mag [MASK]	-0.30217618725116924	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Vormittag	Johannes mag [MASK]	1.1276885235340253	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Auslöser	Johannes mag [MASK]	-1.1512456078777373	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Kauf	Johannes mag [MASK]	-0.6963824433045148	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Weg	Johannes mag [MASK]	-1.3403682551662883	[CLS] Johannes magisch [SEP]
MaleNames	GrammmaticalyMale	Bleistift	Johannes mag [MASK]	1.1329609018283255	[CLS] Johannes magisch [SEP]
