attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	Rock	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Tisch	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Amtsantritt	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Donnerstag	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Held	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Bundestag	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Entwurf	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Kopfhörer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Großvater	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Aufbruch	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Anpfiff	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Vormittag	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Auslöser	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Kauf	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Weg	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Bleistift	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Abgang	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Samen	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Bildschirm	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Nutzen	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Wanderer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Bebauungsplan	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Autohersteller	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Stern	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Freiwilliger	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Demokrat	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Konsens	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Basketballer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Intendant	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Kellner	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Skifahrer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Mangel	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Umlauf	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Faden	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Haken	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Goldpreis	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Fußballer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Tierarzt	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Fahrer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Verkehrsunfall	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Kühlschrank	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Strich	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Bruder	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Abschied	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Klassiker	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Karneval	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Verlauf	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Schweizer	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Gegner	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Stein	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Gast	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Konflikt	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Fluss	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Raum	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Wettkampf	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Jäger	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Strompreis	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Spielplatz	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Tourist	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Einzelhandel	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Turm	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Söldner	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Gang	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Rundgang	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Anbau	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Berg	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Betreiber	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Akteur	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Antrag	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Fernverkehr	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Ozean	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Kommandant	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Wunsch	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Rohstoff	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	General	Mann mag <mask>		<s>Mann magangehörigen</s>
MaleTerms	GrammmaticalyMale	Vorsprung	Mann mag <mask>		<s>Mann magangehörigen</s>
