attribute	target	tgt_word	tgt_sent	log_probs	pred_sent
MaleTerms	GrammmaticalyMale	sabotage	garçon aime <mask>	-0.34303719945438865	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	levier	garçon aime <mask>	2.3878085322922	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	combustible	garçon aime <mask>	-2.8316756224813457	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	soleil	garçon aime <mask>	0.18093713727717914	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	homme	garçon aime <mask>	1.1329825726752727	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	danseur	garçon aime <mask>	2.6898309312960906	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	siècle	garçon aime <mask>	0.29277780196649394	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	poids	garçon aime <mask>	1.6422471527754596	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	vieux	garçon aime <mask>	0.29365616654089993	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	bureau	garçon aime <mask>	1.8520106373522869	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	otage	garçon aime <mask>	2.6856913697867144	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	descendant	garçon aime <mask>	-1.4824997707609073	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	toit	garçon aime <mask>	-1.2279867853400666	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	accès	garçon aime <mask>	0.5629052235936137	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	procureur	garçon aime <mask>	1.1395205867682274	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	bouclier	garçon aime <mask>	0.39364431756146506	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	règlement	garçon aime <mask>	-0.031552420588902064	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	puits	garçon aime <mask>	-2.7221329162850885	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	marchand	garçon aime <mask>	0.3931264046973533	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	ciel	garçon aime <mask>	1.4217956524777469	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	pétrolier	garçon aime <mask>	-2.9639555924426526	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	futur	garçon aime <mask>	1.5763910809539998	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	jésus	garçon aime <mask>	-0.18408827140930237	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	lithium	garçon aime <mask>	2.759265461545041	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	ravage	garçon aime <mask>	-0.11659155156588202	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	couteau	garçon aime <mask>	-0.9376263678524881	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	carnaval	garçon aime <mask>	-0.07606616964321748	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	mur	garçon aime <mask>	1.7765787924400083	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	pourcentage	garçon aime <mask>	-0.6064543379166876	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	virage	garçon aime <mask>	-0.49239239794367357	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	chèque	garçon aime <mask>	-0.8673576804127574	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	arbre	garçon aime <mask>	3.2454502306889337	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	revêtement	garçon aime <mask>	2.1185688981962234	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	complot	garçon aime <mask>	-0.08719381310535702	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	oreiller	garçon aime <mask>	1.2601325562892163	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	bouquet	garçon aime <mask>	1.6670858828494677	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	bruit	garçon aime <mask>	-1.866909181988509	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	juin	garçon aime <mask>	0.9099406480366324	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	seigneur	garçon aime <mask>	-1.0257569613112916	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	international	garçon aime <mask>	-0.6683263904158402	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	pied	garçon aime <mask>	3.172737058993253	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	jardin	garçon aime <mask>	0.903092324020538	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	pic	garçon aime <mask>	1.579903296983321	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	village	garçon aime <mask>	-0.5021696653868284	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	vendeur	garçon aime <mask>	0.4906557648416702	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	dépôt	garçon aime <mask>	2.577462064373578	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	tribunal	garçon aime <mask>	-0.5752899373324433	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	bien	garçon aime <mask>	-2.5718685361881093	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	vélo	garçon aime <mask>	2.225065591550198	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	mécanisme	garçon aime <mask>	-0.5689120124067442	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	ordinateur	garçon aime <mask>	1.394059024254328	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	écolier	garçon aime <mask>	1.5520268617847206	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	animal	garçon aime <mask>	0.3017891064227541	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	cycle	garçon aime <mask>	1.0025089772628475	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	championnat	garçon aime <mask>	2.466972297670422	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	fonds	garçon aime <mask>	-0.11728022746836649	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	camion	garçon aime <mask>	0.7549205519866793	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	budget	garçon aime <mask>	-1.19676779302525	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	commerçant	garçon aime <mask>	-3.7960951187991814	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	cinéma	garçon aime <mask>	2.119966366092669	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	nuage	garçon aime <mask>	0.13086911863586945	<s> garçon aime les</s>
MaleTerms	GrammmaticalyMale	inspecteur	garçon aime <mask>	3.0174075763905988	<s> garçon aime les</s>
